"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2,J3,J4,J5,J6,J7";"Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical";6;"Conn_01x08";;;
2;"J1";"Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical";1;"Conn_01x06";;;
3;"J8";"Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical";1;"Conn_01x04";;;
